DBH,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72
11,0.054,0.056,0.057,0.058,0.059,0.061,0.062,0.063,0.064,0.066,0.067,0.068,0.069,0.071,0.072,0.073,0.074,0.076,0.077,0.078,0.079,0.079,0.081,0.083,0.084,0.086,0.087,0.088,0.089,0.091,0.092,0.094,0.095
12,0.07,0.072,0.073,0.075,0.077,0.078,0.08,0.082,0.083,0.085,0.087,0.088,0.09,0.091,0.093,0.095,0.096,0.101,0.102,0.104,0.103,0.103,0.105,0.108,0.11,0.111,0.113,0.115,0.116,0.118,0.12,0.122,0.123
13,0.088,0.09,0.092,0.094,0.096,0.098,0.1,0.102,0.104,0.106,0.108,0.11,0.113,0.115,0.117,0.119,0.121,0.123,0.125,0.127,0.129,0.129,0.131,0.135,0.138,0.14,0.141,0.144,0.146,0.148,0.151,0.153,0.155
14,0.106,0.108,0.111,0.113,0.116,0.119,0.121,0.124,0.126,0.129,0.131,0.134,0.136,0.139,0.142,0.144,0.147,0.149,0.152,0.154,0.157,0.157,0.159,0.164,0.167,0.17,0.172,0.175,0.177,0.18,0.183,0.185,0.188
15,0.126,0.129,0.132,0.135,0.138,0.141,0.144,0.147,0.15,0.153,0.157,0.16,0.163,0.166,0.169,0.172,0.175,0.178,0.181,0.184,0.187,0.187,0.19,0.196,0.199,0.202,0.205,0.208,0.212,0.214,0.218,0.221,0.224
16,0.147,0.15,0.154,0.158,0.161,0.168,0.168,0.172,0.176,0.179,0.183,0.186,0.19,0.194,0.197,0.201,0.204,0.208,0.212,0.215,0.219,0.219,0.222,0.233,0.233,0.237,0.24,0.244,0.247,0.251,0.255,0.259,0.262
17,0.17,0.174,0.178,0.182,0.186,0.19,0.195,0.199,0.203,0.207,0.211,0.211,0.215,0.224,0.228,0.232,0.236,0.24,0.245,0.249,0.253,0.153,0.257,0.27,0.27,0.274,0.278,0.282,0.286,0.29,0.295,0.299,0.303
18,0.193,0.198,0.203,0.207,0.212,0.217,0.222,0.226,0.231,0.236,0.245,0.245,0.25,0.255,0.26,0.265,0.269,0.274,0.279,0.284,0.288,0.288,0.294,0.307,0.307,0.312,0.318,0.322,0.326,0.332,0.336,0.341,0.346
19,0.219,0.225,0.23,0.236,0.241,0.246,0.252,0.257,0.263,0.268,0.274,0.274,0.279,0.29,0.295,0.301,0.306,0.312,0.321,0.322,0.328,0.328,0.333,0.35,0.35,0.355,0.36,0.365,0.371,0.376,0.382,0.388,0.393
20,0.245,0.252,0.258,0.264,0.27,0.276,0.282,0.288,0.294,0.3,0.306,0.306,0.312,0.325,0.331,0.337,0.343,0.349,0.355,0.361,0.367,0.367,0.374,0.392,0.392,0.398,0.404,0.41,0.416,0.422,0.428,0.434,0.441
21,0.273,0.28,0.287,0.294,0.301,0.307,0.314,0.321,0.328,0.335,0.341,0.348,0.355,0.362,0.369,0.373,0.382,0.389,0.396,0.403,0.409,0.409,0.417,0.423,0.43,0.443,0.451,0.457,0.464,0.471,0.478,0.484,0.491
22,0.303,0.311,0.318,0.326,0.333,0.341,0.348,0.356,0.363,0.371,0.379,0.386,0.394,0.401,0.409,0.416,0.424,0.431,0.439,0.447,0.454,0.454,0.462,0.469,0.477,0.492,0.5,0.507,0.514,0.522,0.53,0.537,0.545
23,0.334,0.342,0.35,0.359,0.367,0.375,0.384,0.392,0.4,0.409,0.417,0.425,0.434,0.442,0.45,0.458,0.467,0.475,0.483,0.492,0.5,0.5,0.508,0.517,0.526,0.542,0.551,0.559,0.567,0.576,0.583,0.592,0.6
24,0.366,0.375,0.384,0.393,0.403,0.412,0.421,0.43,0.439,0.448,0.457,0.468,0.476,0.485,0.494,0.503,0.512,0.521,0.53,0.45,0.549,0.549,0.558,0.567,0.577,0.594,0.604,0.613,0.622,0.632,0.64,0.649,0.658
25,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72
26,0.435,0.446,0.457,0.468,0.47,0.489,0.5,0.511,0.522,0.533,0.544,0.555,0.566,0.576,0.587,0.598,0.609,0.62,0.631,0.642,0.653,0.663,0.674,0.685,0.696,0.707,0.718,0.729,0.74,0.75,0.761,0.772,0.783
27,0.472,0.483,0.495,0.507,0.519,0.53,0.542,0.554,0.566,0.578,0.59,0.602,0.613,0.625,0.637,0.649,0.661,0.672,0.684,0.696,0.708,0.719,0.731,0.743,0.755,0.767,0.778,0.79,0.802,0.813,0.826,0.838,0.849
28,0.509,0.522,0.535,0.547,0.56,0.573,0.586,0.598,0.611,0.624,0.637,0.649,0.662,0.675,0.688,0.701,0.713,0.726,0.739,0.752,0.764,0.777,0.79,0.802,0.815,0.888,0.841,0.853,0.866,0.879,0.892,0.905,0.917
29,0.548,0.562,0.576,0.59,0.603,0.617,0.631,0.645,0.658,0.672,0.686,0.7,0.713,0.727,0.741,0.755,0.768,0.782,0.795,0.81,0.824,0.837,0.851,0.864,0.879,0.892,0.905,0.919,0.934,0.947,0.961,0.975,0.988
30,0.589,0.603,0.618,0.633,0.648,0.662,0.677,0.692,0.707,0.722,0.736,0.751,0.766,0.881,0.795,0.81,0.825,0.84,0.854,0.869,0.884,0.899,0.914,0.928,0.943,0.958,0.972,0.987,1.002,1.017,1.031,1.046,1.061
31,0.63,0.646,0.662,0.678,0.694,0.71,0.725,0.741,0.757,0.773,0.789,0.805,0.82,0.836,0.852,0.868,0.844,0.9,0.915,0.931,0.947,0.963,0.979,0.994,1.01,1.026,1.042,1.058,1.074,1.089,1.105,1.121,1.137
32,0.673,0.69,0.707,0.724,0.741,0.75,0.775,0.792,0.809,0.825,0.842,0.859,0.876,0.893,0.91,0.927,0.944,0.961,0.978,0.995,1.012,1.029,1.045,1.063,1.079,1.096,1.115,1.13,1.147,1.164,1.18,1.197,1.214
33,0.718,0.736,0.754,0.772,0.79,0.808,0.826,0.844,0.862,0.88,0.898,0.916,0.934,0.952,0.97,0.988,1.006,1.024,1.043,1.061,1.079,1.097,1.115,1.133,1.151,1.169,1.187,1.205,1.223,1.241,1.259,1.277,1.295
34,0.764,0.783,0.802,0.822,0.841,0.86,0.879,0.899,0.918,0.937,0.956,0.975,0.995,1.014,1.033,1.052,1.071,1.081,1.11,1.129,1.148,1.167,1.187,1.206,1.225,1.244,1.263,1.283,1.302,1.321,1.34,1.359,1.378
35,1.811,0.832,0.852,0.872,0.893,0.913,0.934,0.954,0.974,0.995,1.015,1.036,1.056,1.076,1.097,1.117,1.138,1.158,1.178,1.199,1.219,1.24,1.26,1.281,1.301,1.321,1.332,1.362,1.383,1.403,1.423,1.443,1.464
36,1.86,0.882,0.903,0.925,0.947,0.968,0.99,1.012,1.033,1.055,1.076,1.098,1.12,1.141,1.163,1.185,1.206,1.228,1.25,1.271,1.293,1.314,1.336,1.358,1.38,1.401,1.423,1.444,1.466,1.488,1.509,1.53,1.552
37,1.91,0.933,0.965,0.978,1.001,1.024,1.007,1.07,1.093,1.116,1.139,1.162,1.185,1.208,1.23,1.253,1.276,1.299,1.322,1.345,1.368,1.391,1.414,1.437,1.459,1.482,1.506,1.529,1.551,1.574,1.596,1.619,1.642
38,1.961,0.985,1.01,1.034,1.058,1.082,1.107,1.131,1.155,1.179,1.203,1.228,1.252,1.276,1.3,1.324,1.349,1.373,1.397,1.421,1.445,1.47,1.494,1.518,1.542,1.567,1.591,1.615,1.639,1.666,1.687,1.711,1.735
39,1.015,1.04,1.066,1.091,1.117,1.142,1.168,1.192,1.219,1.245,1.27,1.296,1.321,1.347,1.372,1.398,1.423,1.449,1.475,1.5,1.526,1.551,1.577,1.602,1.628,1.653,1.678,1.704,1.73,1.755,1.78,1.806,1.831
40,1.069,1.096,1.122,1.149,1.176,1.203,1.23,1.257,1.284,1.311,1.338,1.365,1.392,1.419,1.446,1.473,1.499,1.526,1.553,1.58,1.607,1.634,1.661,1.687,1.715,1.742,1.768,1.795,1.823,1.849,1.875,1.902,1.929
41,1.124,1.152,1.18,1.209,1.237,1.265,1.294,1.322,1.35,1.379,1.407,1.435,1.463,1.492,1.52,1.548,1.577,1.605,1.633,1.662,1.69,1.719,1.747,1.775,1.802,1.832,1.86,1.889,1.917,1.945,1.972,2,2.029
42,1.18,1.21,1.24,1.27,1.299,1.329,1.359,1.389,1.418,1.448,1.478,1.508,1.537,1.567,1.597,1.627,1.656,1.686,1.716,1.746,1.775,1.806,1.835,1.765,1.895,1.924,1.955,1.984,2.014,2.044,2.072,2.102,2.131
43,1.239,1.27,1.301,1.333,1.364,1.395,1.426,1.458,1.489,1.52,1.552,1.582,1.614,1.645,1.676,1.707,1.739,1.77,1.801,1.832,1.864,1.895,1.926,1.958,1.989,2.02,2.051,2.083,2.113,2.145,2.175,2.206,2.237
44,1.299,1.332,1.365,1.397,1.43,1.463,1.496,1.528,1.561,1.594,1.627,1.659,1.692,1.725,1.758,1.79,1.823,1.856,1.889,1.922,1.954,1.986,2.02,2.052,2.085,2.118,2.5,2.183,2.216,2.248,2.28,2.313,2.346
45,1.259,1.394,1.428,1.462,1.496,1.531,1.565,1.599,1.634,1.668,1.702,1.736,1.771,1.805,1.839,1.839,1.908,1.942,1.946,2.011,2.045,2.08,2.114,2.148,2.182,2.216,2.251,2.286,2.319,2.354,2.386,2.421,2.455
46,1.422,1.458,1.494,1.53,1.566,1.602,1.637,1.709,1.709,1.745,1.781,1.817,1.853,1.889,1.924,1.96,1.996,2.032,2.068,2.104,2.14,2.175,2.211,2.247,2.283,2.319,2.355,2.391,2.427,2.362,2.497,2.533,2.569
47,1.486,1.523,1.561,1.598,1.636,1.673,1.711,1.748,1.786,1.823,1.861,1.898,1.936,1.973,2.011,2.048,2.086,2.123,2.161,2.198,2.236,2.273,2.311,2.348,2.386,2.32,2.461,2.536,2.498,2.373,2.609,2.646,2.684
48,1.551,1.59,1.639,1.669,1.708,1.747,1.786,1.825,1.865,1.904,1.943,1.943,1.982,2.021,2.06,2.099,2.139,2.217,2.256,2.295,2.334,2.373,2.413,2.451,2.491,2.321,2.569,2.608,2.947,2.686,2.724,2.763,2.802
49,1.618,1.659,1.699,1.74,1.181,1.822,1.863,1.903,1.944,1.985,2.026,2.067,2.108,2.148,2.189,2.23,2.271,2.312,2.353,2.393,2.434,2.475,2.516,2.556,2.598,2.322,2.679,2.72,2.761,2.801,2.84,2.881,2.922
50,1.685,1.727,1.77,1.812,1.855,1.898,1.98,1.983,2.025,2.068,2.11,2.153,2.195,2.238,2.28,2.323,2.365,2.408,2.45,2.493,2.535,2.579,2.621,2.664,2.706,2.723,2.791,2.834,2.876,2.914,2.958,3,3.043
51,1.755,1.799,1.843,1.888,1.932,1.976,2.021,2.65,2.109,2.153,2.198,2.242,2.286,2.331,2.315,2.416,2.463,2.508,2.552,2.596,2.641,2.685,2.729,2.774,2.818,2.862,2.906,2.95,2.995,3.039,3.081,3.125,3.17
52,1.825,1.872,1.918,1.964,2.01,2.056,2.102,2.148,2.194,2.24,2.286,2.332,2.378,2.425,2.417,2.517,2.563,2.609,2.655,2.701,2.747,2.793,2.839,2.885,2.932,2.978,3.023,3.069,3.116,3.162,3.205,3.251,3.298
